gundam (1)
MB,Series,Price,Rel Date,Distri
GNR-010 0 Raiser + GN Sword III,Mobile Suit Gundam 00,"¥4,800",2011 July,Tamashii Web exclusive accessory set to convert MB-01 into  or .
GN-000+GNR-010 Trans-Am Raiser,Mobile Suit Gundam 00,"¥17,143",2012 February,Tamashii Web exclusive color variant of MB-01 (without the Seven Sword weapons) and 0 Raiser.
ZGMF-X10A Freedom Gundam,Mobile Suit Gundam SEED,"¥17,143",2012 November,Tamashii Web exclusive metallic color variant of MB-02.
GN-0000+GNR-010 00 Raiser,Mobile Suit Gundam 00,"¥18,000",2013 August,"Tamashii Web exclusive release of MB-01 (without the Seven Sword weapons) with 0 Raiser, featuring new markings."
GN-001 Gundam Exia,Mobile Suit Gundam 00,"¥17,143",2014 May,Tamashii Web exclusive metallic color variant of MB-03.
GN-001/hs-A01 Gundam Avalanche Exia,Mobile Suit Gundam 00V: Battlefield Record,"¥18,000",2014 December,Tamashii Web exclusive parts variant of MB-03.
GN-001/hs-A01 Gundam Avalanche Exia,Mobile Suit Gundam 00V: Battlefield Record,"¥20,000",2014 December,Tamashii Web exclusive parts variant of MB-03. Includes additional weapons and accessories.
GN-001/hs-A01 Gundam Avalanche Exia,Mobile Suit Gundam 00V: Battlefield Record,"¥3,500",2015 February,Tamashii Web exclusive accessory kit to convert Avalanche Exia into .
ZGMF-X42S-REVOLUTION Destiny Gundam (Heine Westenfluss Custom),Mobile Suit Gundam SEED Destiny,"¥17,593",2015 October 31,Tamashii Web exclusive color variant of MB-05.
ZGMF-X20A Strike Freedom Gundam,Mobile Suit Gundam SEED Destiny,"¥7,000",2016 June,Tamashii Web exclusive accessory set for MB-08.
ZGMF-X42S Destiny Gundam,Mobile Suit Gundam SEED Destiny,"¥6,000",2016 October,Tamashii Web exclusive accessory set for MB-05.
ZGMF-X42S Destiny Gundam,Mobile Suit Gundam SEED Destiny,"¥26,000",2016 October,"Tamashii Web exclusive re-release of MB-05 with the ""Wing of Light"" accessory set and additional markings."
Mobile Suit Gundam SEED Astray,,"¥20,000",2017 June,Tamashii Web exclusive re-release of MB-09 with accessory set and 150 Gerbera Straight [Power].
F91 Gundam F91,Mobile Suit Gundam F91,"¥7,000",2017 August,"Tamashii Web exclusive accessory set for MB-11 to reproduce two  . Includes new shoulder armor, two back-mounted beam gatling guns with missile launchers, and a new backpack with four VSBRs."
MBF-P02Kai Gundam Astray Red Frame Kai,Mobile Suit Gundam SEED Astray,"¥23,000",2017 September,"Tamashii Web exclusive re-release of MB-09 with Tactical Arms IIL and ""Tiger Pierce"" katana. Includes custom display base for Tactical Arms IIL."
Tactical Arms IIL & Tiger Pierce Option Set,Mobile Suit Gundam SEED Astray,"¥5,000",2017 September,Tamashii Web exclusive accessory set for MB-09. Includes custom display base for Tactical Arms IIL.
GN Sword II Blaster,Mobile Suit Gundam 00V: Battlefield Record,"¥3,500",2018 January,Tamashii Web exclusive accessory for MB-01; originally bundled with MB-12.
GN-001 Gundam Exia,Mobile Suit Gundam 00,"¥30,000",2018 March,"Tamashii Web exclusive metallic color variant of MB-03 with additional parts to convert figure into . Features ""Iris Metallic"" finish on GN Drive and GN Condensers. To be released to commemorate the 10th anniversary of ."
