gundam_reg
MB,Series,Price,Rel Date,Distri
GN-0000/7S 00 Gundam Seven Sword,Mobile Suit Gundam 00V: Battlefield Record,"¥13,800",2011 March 26,First release from the  timeline.
ZGMF-X10A Freedom Gundam,Mobile Suit Gundam SEED,"¥15,000",2012 March 24,First release from the  timeline.
GN-001 Gundam Exia,Mobile Suit Gundam 00,"¥15,000",2013 March 23,Includes parts to convert figure into .
GN-001RE Gundam Exia Repair,Mobile Suit Gundam 00,"¥13,800",2014 September 14,Parts variant of MB-03.Includes parts to convert figure into
ZGMF-X42S Destiny Gundam,Mobile Suit Gundam SEED Destiny,"¥17,000",2013 December 28,
MBF-P01-Re2AMATU Gundam Astray Gold Frame Amatsu Mina,Mobile Suit Gundam SEED Astray,"¥22,000",2015 June 27,
ZGMF-X20A Strike Freedom Gundam,Mobile Suit Gundam SEED Destiny,"¥25,000",2015 December,
MBF-P02 Gundam Astray Red Frame,Mobile Suit Gundam SEED Astray,"¥18,000",2016 March,Parts and color variant of MB-07.
MBF-P02 Gundam Astray Red Frame,Mobile Suit Gundam SEED Astray,"¥5,500",2016 March,Accessory set for MB-09. Includes custom display base.
MBF-P03 Gundam Astray Blue Frame,Mobile Suit Gundam SEED Astray,"¥23,000",2016 December,Parts and color variant of MB-07.
F91 Gundam F91,Mobile Suit Gundam F91,"¥19,000",2017 March,First release from the  timeline. Redesigned by . First MB figure to use photo etched parts. Features fully transformable face change gimmick. Released to commemorate the 25th anniversary of .
GN-0000GNHW/7SG 00 Gundam Seven Sword/G,Mobile Suit Gundam 00V: Battlefield Record,"¥19,000",2017 July,Re-release of MB-01 with GN Sword II Blaster and additional GN Drive with brackets to mount it on the right shoulder armor.
GNT-0000 00 Qan[T],Mobile Suit Gundam 00 The Movie -A wakening of the Trailblazer-,"¥25,000",2017 December,Features LED light for chest GN Drive and two modes of Quantum Burst. Includes display ring and shield effect for GN Shield Bits. Released to commemorate the 10th anniversary of  and Tamashii Nations.
GAT-X105+AQM/E-X01 Aile Strike Gundam,Mobile Suit Gundam SEED,"¥24,000",2018 August,Redesigned by Kunio Okawara and Satoshi Shigeta.
XM-X1 Crossbone Gundam X1,Mobile Suit Crossbone Gundam,"¥22,000",2019 January,"Includes fully transformable Core Fighter, fully articulated Anti Beam Coating Cloak, and Billy unit."
MBF-P02Kai Gundam Astray Red Frame Kai,Mobile Suit Gundam SEED Astray,"¥25,000",2020 March,Parts and color variant of Tamashii Web exclusive MBF-P02Kai Gundam Astray Red Frame Kai.
ZGMF-X10A Freedom Gundam,Mobile Suit Gundam SEED,"¥24,000",2020 August,Redesign of MB-02 with improved articulation and proportions. First MB redesign release.
F91 Gundam F91,Mobile Suit Gundam F91,"¥29,000",2021 March,Matt color variant of MB-11. Released to commemorate the 30th anniversary of .
MBF-P01-Re2AMATU Gundam Astray Gold Frame Amatsu Mina (Princess of the Sky Ver.),Mobile Suit Gundam SEED ASTRAY Princess of the Sky,"¥25,000",2021 April,Parts and matte color variant of MB-07. Includes additional matte color variant of right arm from MB-07.
GN-002REIII Gundam Dynames Repair III,"Mobile Suit Gundam 00 Festival 10 ""Re:vision""","¥23,000",2021 July,Released to coincide with the 10th anniversary of Metal Build.
ZGMF-X09A Justice Gundam,Mobile Suit Gundam SEED,"¥26,000",2022 January,
RX-93-ν2 Hi-ν Gundam,Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children,"¥32,000",2022 July,
GN-001 Gundam Devise Exia,Mobile Suit Gundam 00 Revealed Chronicle,"¥20,000",2022 October,Parts variant of MB-03. Released to commemorate the 15th anniversary of .
MSZ-006 Zeta Gundam,Mobile Suit Zeta Gundam,"¥40,000",2025 April,Fully transformable figure. Beam rifle can be displayed as a figure-exclusive beam naginata with two beam effect parts attached on both ends. Released to commemorate the 40th anniversary of .
